year,month,avg_temp
1955,8,27.0
1955,9,27.6
1955,10,23.8
1955,11,20.0
1955,12,18.1
1956,1,15.3
1956,2,15.1
1956,3,18.2
1956,4,21.0
1956,5,24.3
1956,6,27.4
1956,7,29.2
1956,8,27.4
1956,9,26.5
1956,10,24.5
1956,11,20.2
1956,12,17.0
1957,1,17.1
1957,2,15.6
1957,3,16.8
1957,4,21.4
1957,5,23.8
1957,6,25.0
1957,7,28.9
1957,8,27.9
1957,9,27.0
1957,10,23.2
1957,11,21.1
1957,12,18.0
1958,1,16.3
1958,2,16.2
1958,3,17.8
1958,4,21.9
1958,5,23.4
1958,6,24.7
1958,7,27.6
1958,8,28.3
1958,9,27.4
1958,10,24.3
1958,11,21.1
1958,12,18.8
1959,1,15.5
1959,2,19.2
1959,3,19.0
1959,4,20.3
1959,5,23.7
1959,6,25.9
1959,7,28.5
1959,8,27.8
1959,9,27.3
1959,10,24.0
1959,11,21.9
1959,12,19.1
1960,1,16.6
1960,2,16.9
1960,3,19.9
1960,4,20.3
1960,5,23.1
1960,6,26.0
1960,7,28.4
1960,8,27.3
1960,9,27.4
1960,10,24.7
1960,11,21.8
1960,12,17.4
1961,1,15.5
1961,2,15.2
1961,3,18.5
1961,4,20.8
1961,5,24.2
1961,6,27.5
1961,7,28.1
1961,8,28.2
1961,9,27.8
1961,10,25.0
1961,11,22.0
1961,12,18.1
1962,1,14.4
1962,2,16.3
1962,3,17.0
1962,4,19.1
1962,5,23.9
1962,6,26.5
1962,7,28.3
1962,8,27.9
1962,9,27.7
1962,10,24.6
1962,11,21.3
1962,12,17.7
1963,1,12.4
1963,2,13.5
1963,3,17.3
1963,4,20.8
1963,5,25.7
1963,6,26.5
1963,7,28.3
1963,8,28.4
1963,9,27.8
1963,10,23.5
1963,11,21.5
1963,12,18.3
1964,1,17.2
1964,2,16.3
1964,3,18.2
1964,4,24.2
1964,5,23.8
1964,6,25.3
1964,7,27.8
1964,8,27.6
1964,9,27.9
1964,10,25.6
1964,11,21.3
1964,12,18.6
1965,1,15.5
1965,2,16.5
1965,3,16.4
1965,4,20.2
1965,5,22.5
1965,6,25.6
1965,7,28.4
1965,8,27.6
1965,9,26.4
1965,10,22.9
1965,11,22.4
1965,12,18.2
1966,1,16.7
1966,2,17.8
1966,3,19.6
1966,4,21.8
1966,5,23.0
1966,6,25.3
1966,7,27.7
1966,8,28.4
1966,9,26.4
1966,10,23.4
1966,11,21.6
1966,12,18.4
1967,1,15.3
1967,2,15.7
1967,3,18.2
1967,4,22.5
1967,5,25.0
1967,6,26.2
1967,7,28.6
1967,8,28.3
1967,9,26.6
1967,10,23.9
1967,11,22.6
1967,12,15.7
1968,1,15.5
1968,2,13.4
1968,3,17.1
1968,4,19.8
1968,5,23.1
1968,6,24.9
1968,7,28.4
1968,8,28.1
1968,9,27.0
1968,10,23.8
1968,11,20.7
1968,12,19.3
1969,1,18.3
1969,2,17.8
1969,3,18.2
1969,4,21.7
1969,5,24.3
1969,6,24.5
1969,7,28.5
1969,8,28.1
1969,9,28.2
1969,10,24.2
1969,11,20.6
1969,12,17.2
1970,1,15.1
1970,2,17.0
1970,3,16.6
1970,4,19.7
1970,5,23.9
1970,6,26.1
1970,7,28.2
1970,8,28.5
1970,9,27.7
1970,10,25.3
1970,11,21.3
1970,12,18.4
1971,1,14.2
1971,2,15.7
1971,3,17.3
1971,4,21.0
1971,5,23.5
1971,6,28.2
1971,7,29.5
1971,8,28.1
1971,9,27.4
1971,10,24.3
1971,11,21.0
1971,12,18.3
1972,1,18.2
1972,2,17.1
1972,3,17.8
1972,4,20.7
1972,5,24.3
1972,6,26.9
1972,7,27.8
1972,8,27.5
1972,9,26.4
1972,10,24.1
1972,11,21.7
1972,12,19.1
1973,1,17.0
1973,2,18.3
1973,3,18.3
1973,4,22.3
1973,5,23.3
1973,6,25.6
1973,7,27.2
1973,8,27.2
1973,9,26.5
1973,10,24.5
1973,11,20.0
1973,12,15.9
1974,1,16.0
1974,2,16.0
1974,3,17.4
1974,4,20.4
1974,5,23.7
1974,6,25.5
1974,7,27.3
1974,8,27.8
1974,9,26.0
1974,10,25.2
1974,11,21.5
1974,12,19.2
1975,1,16.1
1975,2,16.2
1975,3,17.0
1975,4,21.6
1975,5,23.1
1975,6,25.7
1975,7,27.5
1975,8,27.3
1975,9,27.3
1975,10,25.6
1975,11,21.5
1975,12,17.2
1976,1,14.9
1976,2,17.8
1976,3,17.9
1976,4,21.8
1976,5,23.9
1976,6,26.3
1976,7,26.5
1976,8,27.8
1976,9,25.9
1976,10,23.6
1976,11,20.1
1976,12,17.8
1977,1,15.8
1977,2,14.9
1977,3,18.9
1977,4,21.7
1977,5,24.5
1977,6,26.4
1977,7,28.5
1977,8,28.1
1977,9,27.4
1977,10,25.1
1977,11,21.4
1977,12,19.0
1978,1,15.9
1978,2,15.5
1978,3,17.2
1978,4,20.6
1978,5,23.2
1978,6,26.0
1978,7,27.6
1978,8,26.9
1978,9,27.1
1978,10,24.8
1978,11,21.4
1978,12,18.4
1979,1,17.2
1979,2,17.0
1979,3,18.3
1979,4,20.9
1979,5,21.8
1979,6,26.0
1979,7,28.8
1979,8,27.7
1979,9,27.2
1979,10,23.5
1979,11,20.6
1979,12,18.7
1980,1,16.3
1980,2,15.1
1980,3,19.1
1980,4,20.5
1980,5,23.9
1980,6,27.6
1980,7,28.7
1980,8,28.8
1980,9,27.3
1980,10,24.2
1980,11,21.8
1980,12,16.8
1981,1,15.0
1981,2,16.3
1981,3,18.9
1981,4,21.6
1981,5,22.6
1981,6,26.1
1981,7,28.1
1981,8,28.6
1981,9,26.8
1981,10,24.5
1981,11,21.1
1981,12,17.3
1982,1,15.6
1982,2,16.9
1982,3,19.8
1982,4,20.2
1982,5,24.7
1982,6,25.5
1982,7,28.6
1982,8,28.0
1982,9,26.7
1982,10,24.2
1982,11,22.5
1982,12,18.1
1983,1,17.1
1983,2,15.9
1983,3,18.4
1983,4,23.0
1983,5,24.3
1983,6,26.3
1983,7,28.7
1983,8,28.6
1983,9,28.2
1983,10,26.2
1983,11,21.0
1983,12,17.0
1984,1,15.2
1984,2,15.6
1984,3,17.5
1984,4,20.7
1984,5,23.2
1984,6,27.0
1984,7,28.5
1984,8,28.2
1984,9,27.3
1984,10,24.3
1984,11,22.3
1984,12,18.3
1985,1,16.2
1985,2,17.3
1985,3,19.4
1985,4,20.2
1985,5,24.6
1985,6,25.9
1985,7,28.0
