year,month,avg_temp
1969,12,-3.6
1970,1,-5.9
1970,2,-3.0
1970,3,-3.0
1970,4,5.9
1970,5,13.8
1970,6,16.0
1970,7,21.4
1970,8,21.5
1970,9,17.4
1970,10,11.2
1970,11,4.9
1970,12,-2.2
1971,1,-5.0
1971,2,-3.7
1971,3,0.0
1971,4,6.4
1971,5,10.4
1971,6,14.4
1971,7,19.0
1971,8,20.3
1971,9,15.6
1971,10,10.5
1971,11,4.4
1971,12,-1.4
1972,1,-3.9
1972,2,-3.8
1972,3,0.2
1972,4,6.9
1972,5,11.8
1972,6,15.7
1972,7,20.6
1972,8,21.7
1972,9,16.8
1972,10,11.9
1972,11,3.7
1972,12,0.0
1973,1,-2.7
1973,2,-2.3
1973,3,-1.9
1973,4,6.8
1973,5,12.1
1973,6,15.8
1973,7,20.6
1973,8,23.0
1973,9,16.8
1973,10,10.3
1973,11,3.7
1973,12,-1.9
1974,1,-3.3
1974,2,-3.2
1974,3,-0.9
1974,4,6.4
1974,5,12.0
1974,6,16.1
1974,7,19.9
1974,8,21.3
1974,9,17.3
1974,10,10.5
1974,11,3.1
1974,12,-4.0
1975,1,-4.2
1975,2,-4.4
1975,3,-0.3
1975,4,7.6
1975,5,11.9
1975,6,16.5
1975,7,19.9
1975,8,22.3
1975,9,18.6
1975,10,10.4
1975,11,4.8
1975,12,-3.1
1976,1,-4.1
1976,2,-2.8
1976,3,0.0
1976,4,5.9
1976,5,12.7
1976,6,15.4
1976,7,20.4
1976,8,19.4
1976,9,16.2
1976,10,10.5
1976,11,2.8
1976,12,-2.0
1977,1,-7.5
1977,2,-5.5
1977,3,-0.1
1977,4,5.2
1977,5,11.2
1977,6,15.9
1977,7,21.3
1977,8,20.3
1977,9,17.4
1977,10,11.3
1977,11,5.2
1977,12,-0.6
1978,1,-5.2
1978,2,-7.6
1978,3,-0.7
1978,4,5.4
1978,5,12.0
1978,6,17.8
1978,7,23.2
1978,8,23.2
1978,9,17.0
1978,10,9.7
1978,11,4.5
1978,12,-1.0
1979,1,-5.3
1979,2,-2.6
1979,3,-0.6
1979,4,4.6
1979,5,10.9
1979,6,17.5
1979,7,19.4
1979,8,22.1
1979,9,16.9
1979,10,12.5
1979,11,4.7
1979,12,0.9
1980,1,-3.9
1980,2,-5.7
1980,3,-0.5
1980,4,4.1
1980,5,12.3
1980,6,17.6
1980,7,19.4
1980,8,19.0
1980,9,16.9
1980,10,10.8
1980,11,5.1
1980,12,-0.3
1981,1,-4.9
1981,2,-3.2
1981,3,-0.5
1981,4,6.6
1981,5,10.3
1981,6,14.9
1981,7,21.0
1981,8,20.9
1981,9,16.2
1981,10,11.0
1981,11,1.8
1981,12,-0.2
1982,1,-4.4
1982,2,-4.6
1982,3,0.7
1982,4,6.1
1982,5,13.0
1982,6,15.8
1982,7,20.4
1982,8,22.8
1982,9,17.8
1982,10,12.5
1982,11,5.9
1982,12,0.3
1983,1,-2.9
1983,2,-4.5
1983,3,0.1
1983,4,9.5
1983,5,12.4
1983,6,13.6
1983,7,18.2
1983,8,22.3
1983,9,17.7
1983,10,9.7
1983,11,5.1
1983,12,-1.8
1984,1,-4.7
1984,2,-5.6
1984,3,-2.2
1984,4,5.0
1984,5,11.4
1984,6,18.2
1984,7,22.1
1984,8,23.6
1984,9,17.7
1984,10,10.3
1984,11,3.7
1984,12,-2.1
1985,1,-6.9
1985,2,-2.2
1985,3,-0.1
1985,4,7.6
1985,5,12.4
1985,6,15.5
1985,7,20.3
1985,8,24.6
1985,9,17.1
1985,10,10.9
1985,11,4.1
1985,12,-3.5
1986,1,-5.8
1986,2,-5.5
1986,3,-0.4
1986,4,6.9
1986,5,11.4
1986,6,16.1
1986,7,18.2
1986,8,22.3
1986,9,18.1
1986,10,8.9
1986,11,3.5
1986,12,-1.5
1987,1,-4.9
1987,2,-3.8
1987,3,-0.1
1987,4,6.0
1987,5,12.0
1987,6,17.3
1987,7,20.6
1987,8,20.6
1987,9,17.8
1987,10,11.9
1987,11,3.6
1987,12,-2.3
1988,1,-3.8
1988,2,-5.2
1988,3,-0.1
1988,4,7.1
1988,5,11.4
1988,6,16.6
1988,7,18.3
1988,8,22.9
1988,9,17.6
1988,10,10.9
1988,11,2.9
1988,12,-0.4
1989,1,-1.9
1989,2,-1.4
1989,3,2.4
1989,4,7.3
1989,5,11.4
1989,6,15.2
1989,7,21.0
1989,8,23.0
1989,9,18.4
1989,10,11.8
1989,11,6.6
1989,12,-0.6
1990,1,-4.9
1990,2,-0.7
1990,3,2.9
1990,4,7.9
1990,5,13.4
1990,6,17.7
1990,7,20.8
1990,8,23.1
1990,9,18.7
1990,10,13.0
1990,11,7.5
1990,12,1.9
1991,1,-1.2
1991,2,-2.8
1991,3,0.3
1991,4,8.0
1991,5,13.8
1991,6,18.8
1991,7,20.2
1991,8,21.5
1991,9,18.4
1991,10,12.7
1991,11,4.7
1991,12,-0.9
1992,1,-2.4
1992,2,-2.5
1992,3,1.0
1992,4,6.9
1992,5,11.7
1992,6,16.4
1992,7,20.7
1992,8,21.1
1992,9,16.2
1992,10,11.6
1992,11,4.8
1992,12,0.1
1993,1,-1.7
1993,2,-2.1
1993,3,1.3
1993,4,6.2
1993,5,11.9
1993,6,15.4
1993,7,19.1
1993,8,20.0
1993,9,17.5
1993,10,11.5
1993,11,5.8
1993,12,-0.1
1994,1,-4.7
1994,2,-1.3
1994,3,-0.5
1994,4,7.0
1994,5,13.5
1994,6,16.9
1994,7,22.2
1994,8,24.8
1994,9,19.8
1994,10,12.4
1994,11,5.4
1994,12,-1.4
1995,1,-3.3
1995,2,-2.3
1995,3,0.9
1995,4,7.3
1995,5,13.3
1995,6,15.6
1995,7,21.5
1995,8,21.3
1995,9,17.4
1995,10,13.1
1995,11,5.5
1995,12,0.0
1996,1,-3.7
1996,2,-3.4
1996,3,0.5
1996,4,5.8
1996,5,10.5
1996,6,15.7
1996,7,20.4
1996,8,20.9
1996,9,18.2
1996,10,11.5
1996,11,4.1
1996,12,-0.7
1997,1,-2.5
1997,2,-1.8
1997,3,0.2
1997,4,7.2
1997,5,11.9
1997,6,15.8
1997,7,22.0
1997,8,20.5
1997,9,17.1
1997,10,10.8
1997,11,7.1
1997,12,0.4
1998,1,-5.9
1998,2,-3.6
1998,3,1.6
1998,4,9.0
1998,5,13.5
1998,6,15.5
1998,7,20.3
1998,8,21.1
1998,9,19.2
1998,10,13.2
1998,11,3.2
1998,12,-1.7
1999,1,-3.2
1999,2,-3.6
1999,3,-0.5
1999,4,6.9
1999,5,11.9
1999,6,17.8
1999,7,22.1
1999,8,24.9
1999,9,19.7
1999,10,11.9
1999,11,5.5
1999,12,-1.1
2000,1,-3.1
2000,2,-3.8
2000,3,0.2
2000,4,6.1
2000,5,14.0
2000,6,16.7
2000,7,22.2
2000,8,23.9
2000,9,18.6
2000,10,11.6
2000,11,3.9
2000,12,-2.5
2001,1,-5.7
2001,2,-5.5
2001,3,0.2
2001,4,8.3
2001,5,13.4
2001,6,16.7
2001,7,20.7
2001,8,21.1
2001,9,17.1
2001,10,12.1
2001,11,5.0
2001,12,-3.4
2002,1,-2.5
2002,2,-0.6
2002,3,2.5
2002,4,9.6
2002,5,13.6
2002,6,15.9
2002,7,20.5
2002,8,20.1
2002,9,17.7
2002,10,12.0
2002,11,2.8
2002,12,-3.0
2003,1,-3.6
2003,2,-3.5
2003,3,0.7
2003,4,8.2
2003,5,12.9
2003,6,17.1
2003,7,17.7
2003,8,20.7
2003,9,17.5
2003,10,11.6
2003,11,6.2
2003,12,0.0
2004,1,-2.5
2004,2,-1.3
2004,3,0.7
2004,4,6.6
2004,5,13.8
2004,6,18.5
2004,7,21.3
2004,8,21.9
2004,9,18.4
2004,10,12.5
2004,11,7.2
2004,12,-0.8
2005,1,-3.5
2005,2,-3.9
2005,3,0.1
2005,4,6.2
2005,5,10.7
2005,6,18.3
2005,7,20.1
2005,8,23.5
2005,9,18.8
2005,10,13.2
2005,11,5.5
2005,12,-2.6
2006,1,-4.1
2006,2,-2.7
2006,3,1.3
2006,4,5.2
2006,5,12.9
2006,6,15.7
2006,7,20.6
2006,8,24.3
2006,9,18.5
2006,10,11.7
2006,11,6.2
2006,12,-0.5
2007,1,-1.8
2007,2,-1.5
2007,3,0.9
2007,4,6.3
2007,5,12.5
2007,6,18.8
2007,7,19.6
2007,8,23.5
2007,9,19.1
2007,10,11.7
2007,11,3.9
2007,12,-0.6
2008,1,-4.3
2008,2,-3.4
2008,3,3.3
2008,4,9.4
2008,5,12.4
2008,6,17.0
2008,7,21.4
2008,8,21.2
2008,9,19.2
2008,10,12.9
2008,11,4.6
2008,12,0.8
2009,1,-1.3
2009,2,-2.2
2009,3,1.5
2009,4,7.7
2009,5,13.9
2009,6,17.5
2009,7,19.7
2009,8,21.5
2009,9,17.8
2009,10,12.5
2009,11,5.1
2009,12,-0.7
2010,1,-2.0
2010,2,-3.2
2010,3,-0.1
2010,4,5.5
2010,5,12.2
2010,6,19.2
2010,7,22.1
2010,8,24.8
2010,9,20.0
2010,10,12.2
2010,11,5.9
2010,12,0.6
2011,1,-3.8
2011,2,-1.1
2011,3,
2011,4,6.9
2011,5,11.1
2011,6,17.3
2011,7,21.8
2011,8,23.6
2011,9,19.2
2011,10,12.1
2011,11,6.0
2011,12,-2.0
2012,1,-4.5
2012,2,-4.4
2012,3,0.1
2012,4,7.0
2012,5,13.0
2012,6,17.1
2012,7,21.8
2012,8,23.4
2012,9,22.4
2012,10,13.0
2012,11,5.5
2012,12,-2.3
2013,1,-4.7
2013,2,-4.0
2013,3,0.0
2013,4,6.3
2013,5,11.3
2013,6,17.6
2013,7,22.5
2013,8,23.1
2013,9,18.8
2013,10,12.9
2013,11,6.3
2013,12,0.8
2014,1,-4.1
2014,2,-3.5
2014,3,0.5
2014,4,7.3
2014,5,14.0
2014,6,18.7
2014,7,22.5
2014,8,22.4
2014,9,18.1
2014,10,11.3
2014,11,6.1
2014,12,-1.3
2015,1,-1.5
2015,2,-0.8
2015,3,3.8
2015,4,8.7
2015,5,14.2
2015,6,16.7
2015,7,21.3
2015,8,22.4
2015,9,18.4
2015,10,10.8
2015,11,5.4
2015,12,0.8
2016,1,-3.5
2016,2,-2.3
2016,3,2.1
2016,4,7.8
2016,5,14.9
2016,6,16.3
2016,7,20.7
2016,8,23.9
2016,9,19.4
2016,10,10.6
2016,11,2.1
2016,12,-1.0
2017,1,-3.9
2017,2,-2.0
2017,3,1.4
2017,4,7.7
2017,5,14.4
2017,6,16.0
2017,7,22.9
2017,8,21.7
2017,9,17.7
2017,10,11.3
2017,11,4.3
2017,12,-2.0
2018,1,-2.6
2018,2,-4.2
2018,3,2.4
2018,4,8.2
2018,5,13.4
